"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 15 07:52:27 GMT 2023","Fri Sep 15 07:52:30 GMT 2023","3164","chromium","","","","","should be able to register to our application",""
"passed","Fri Sep 15 07:52:23 GMT 2023","Fri Sep 15 07:52:27 GMT 2023","3739","chromium","","","","","should be able to delete a todo",""
"passed","Fri Sep 15 07:52:16 GMT 2023","Fri Sep 15 07:52:23 GMT 2023","6623","chromium","","","","","should be able to add a new todo",""
